syllable,start_frame,duration_frames
1,35853,3
7,35862,4
7,35867,4
19,35890,9
1,35899,46
7,35945,23
7,35972,13
1,35985,24
3,36087,6
6,36093,3
6,36097,30
6,36168,44
3,36212,16
3,36229,4
4,37882,12
2,38237,8
2,38260,55
8,38315,56
1,38371,42
2,38413,39
7,38452,58
1,38510,26
3,38536,4
7,38540,53
1,38593,51
2,38644,4
2,38650,19
99,38669,5
0,38674,6
99,38683,24
0,38707,6
13,38713,16
5,38741,11
2,38752,10
2,38767,5
18,38777,8
3,38797,7
3,38810,11
2,38821,24
6,38845,24
1,38869,68
9,38937,3
9,38955,15
1,38970,32
2,39002,4
1,39006,57
6,39063,14
2,39077,12
1,39089,47
6,39136,79
1,39215,81
9,39296,54
0,39350,40
19,39390,25
1,39415,17
9,39432,12
2,39455,47
2,39509,5
2,39522,3
6,39539,3
6,39550,3
6,39556,14
3,39576,5
0,39601,20
3,39621,3
0,39629,3
1,39632,5
17,39662,8
17,39672,15
17,39692,18
17,39718,3
17,39727,7
17,39762,20
17,39783,5
17,39806,46
17,39856,21
17,39883,3
17,39889,9
17,39905,4
17,39915,88
2,40018,4
2,40025,21
6,40046,26
6,40121,37
4,40159,2
0,40161,4
3,40169,4
6,40173,64
99,40241,4
0,40245,16
2,40276,5
2,40282,41
2,40326,11
2,40345,13
0,40358,17
0,40379,19
0,40402,20
1,40422,26
2,40448,24
5,40477,5
2,40482,9
0,40491,7
0,40507,8
8,40515,19
14,40534,357
14,40893,14
14,40908,36
14,40946,14
14,40961,250
15,41211,16
7,41227,6
1,41233,35
7,41270,15
14,41287,152
14,41449,67
2,41516,3
14,41519,302
6,41821,9
14,41830,623
8,42453,4
1,42457,13
8,42470,3
14,42473,1287
7,43760,12
7,43774,4
1,43781,3
1,43786,163
2,43949,4
14,43953,87
6,44040,26
14,44066,880
1,44946,69
2,45015,4
14,45019,476
6,45538,20
1,45558,39
6,45597,50
2,45647,28
2,45676,16
1,45692,10
13,45702,4
7,45706,28
7,45738,13
1,45751,71
8,45822,7
1,45829,65
2,45894,5
1,45899,129
1,46040,4
1,46082,44
7,46126,54
2,46180,24
1,46204,18
2,46222,8
1,46230,23
9,46253,76
3,46329,4
9,46333,15
17,46348,50
2,46398,4
6,46402,118
1,46520,40
13,46560,3
0,46563,22
1,46585,32
2,46617,10
1,46627,11
0,46638,61
22,46699,27
1,46726,44
3,46770,5
1,46775,31
2,46806,40
1,46846,54
0,46900,24
2,46924,73
13,46997,4
2,47001,62
2,47066,36
7,47102,75
7,47180,9
7,47192,82
1,47274,33
7,47307,31
1,47338,10
1,47353,9
6,47362,26
13,47388,5
7,47393,9
7,47417,5
7,47425,7
7,47436,7
7,47477,10
7,47491,14
0,47506,4
1,47510,10
2,47520,5
1,47525,17
0,47542,28
1,47570,53
0,47623,4
1,47627,10
2,47637,42
9,47679,30
1,47709,12
7,47721,43
0,47764,6
1,47770,21
99,47791,6
1,47797,17
3,47814,5
1,47819,30
0,47849,50
3,47899,9
6,47908,19
0,47927,22
1,47949,141
9,48096,53
1,48149,11
2,48160,51
14,48211,56
6,48271,42
14,48313,81
8,48394,14
